id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Arid Collective,country,relaxed,0.55,104,0.72,0.63,0.45
12,Bass Drop,Frequency X,edm,energetic,0.95,140,0.66,0.91,0.03
13,Soul Kitchen,Velvet Jones,soul,happy,0.61,96,0.85,0.74,0.52
14,Dark Matter,Void Signal,metal,intense,0.97,168,0.22,0.61,0.04
15,Bossa Nova Afternoon,Rio Trio,bossa nova,relaxed,0.44,88,0.78,0.67,0.61
16,Pixel Dreams,8bit Hero,chiptune,happy,0.68,128,0.74,0.80,0.12
17,Crying in the Club,Neon Tears,r&b,moody,0.58,102,0.38,0.69,0.31
18,Mountain Echo,Pine & String,folk,chill,0.32,74,0.67,0.55,0.88
